reference,doi,species,treatment,replicate,t,p_mean,p_sd,n,source
Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophora aff. albida,Control,NA,0,1,NA,5,"Figure 4a, Table 1, Text"
Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophora aff. albida,Control,NA,7,0.88165099,0.029709844,5,"Figure 4a, Table 1, Text"
Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophora aff. albida,Control,NA,14,0.903079704,0.026497969,5,"Figure 4a, Table 1, Text"
Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophora aff. albida,Control,NA,28,0.869559961,0.024885236,5,"Figure 4a, Table 1, Text"
Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophora aff. albida,Control,NA,56,0.892459772,0.026497969,5,"Figure 4a, Table 1, Text"
Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophora aff. albida,Control,NA,90,0.711936658,0.039345469,5,"Figure 4a, Table 1, Text"
Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophora aff. albida,Control,NA,118,0.406408656,0.034514065,5,"Figure 4a, Table 1, Text"
Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophora aff. albida,Control,NA,146,0.460610657,0.057820546,5,"Figure 4a, Table 1, Text"
Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophora aff. albida,Control,NA,182,0.422145056,0.028906875,5,"Figure 4a, Table 1, Text"
Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophora aff. albida,Control,NA,364,0.297218855,0.008029688,5,"Figure 4a, Table 1, Text"
Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophora aff. albida,Pre-killed,NA,0,1,NA,5,"Figure 4b, Table 1, Text"
Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophora aff. albida,Pre-killed,NA,7,0.86102809,0.017994546,5,"Figure 4b, Table 1, Text"
Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophora aff. albida,Pre-killed,NA,14,0.809774571,0.035989092,5,"Figure 4b, Table 1, Text"
Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophora aff. albida,Pre-killed,NA,28,0.71359191,0.02437633,5,"Figure 4b, Table 1, Text"
Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophora aff. albida,Pre-killed,NA,56,0.661085899,0.024960176,5,"Figure 4b, Table 1, Text"
Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophora aff. albida,Pre-killed,NA,90,0.524243001,0.018575015,5,"Figure 4b, Table 1, Text"
Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophora aff. albida,Pre-killed,NA,118,0.400342653,0.020900269,5,"Figure 4b, Table 1, Text"
Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophora aff. albida,Pre-killed,NA,146,0.347246042,0.024960176,5,"Figure 4b, Table 1, Text"
Brouwer 1996,10.1007/bf02390433,Desmarestia anceps,Control,NA,0,1,0.042648709,5,Figure 4a
Brouwer 1996,10.1007/bf02390433,Desmarestia anceps,Control,NA,34,0.97266099,0.069584736,5,Figure 4a
Brouwer 1996,10.1007/bf02390433,Desmarestia anceps,Control,NA,60,0.959809563,0.042648709,5,Figure 4a
Brouwer 1996,10.1007/bf02390433,Desmarestia anceps,Control,NA,85,0.990718903,0.037037037,5,Figure 4a
Brouwer 1996,10.1007/bf02390433,Desmarestia anceps,Control,NA,115,0.940830439,0.109983638,5,Figure 4a
Brouwer 1996,10.1007/bf02390433,Desmarestia anceps,Control,NA,144,0.990860571,0.066217733,5,Figure 4a
Brouwer 1996,10.1007/bf02390433,Desmarestia anceps,Control,NA,172,0.94885414,0.074074074,5,Figure 4a
Brouwer 1996,10.1007/bf02390433,Desmarestia anceps,Control,NA,200,0.918055638,0.08305275,5,Figure 4a
Brouwer 1996,10.1007/bf02390433,Desmarestia anceps,Control,NA,228,0.899602815,0.028058361,5,Figure 4a
Brouwer 1996,10.1007/bf02390433,Desmarestia anceps,Control,NA,259,0.823988009,0.140286669,5,Figure 4a
Brouwer 1996,10.1007/bf02390433,Desmarestia anceps,Control,NA,285,0.871711813,0.14365881,5,Figure 4a
