reference,treatment,P_more,P_less,n
Bettignies,Prior,0.12,0.88,80000
Bettignies,Fresh,0.79,0.21,80000
Bettignies,Global,0.25,0.75,80000
Bettignies,Senescent Experiment 1,1.4e-4,1,80000
Bettignies,Senescent Experiment 2,0.67,0.33,80000
Brouwer,Prior,0.024,0.98,80000
Brouwer,Control,0.99,0.0092,80000
Brouwer,Pre-killed,0.0067,0.99,80000
Hamersley,Prior,0.5,0.5,80000
Hamersley,Fresh,0.3,0.7,80000
Hamersley,Senescent,0.29,0.71,80000
Hamersley,Detached,0.26,0.74,80000
Hamersley,Global,0.34,0.66,80000
