reference,species,treatment,k,alpha,mu,tau
Brouwer,Desmarestia anceps,Prior,10 ± 5 (9.2),-1 ± 0.5 (-1),150 ± 99 (128),10 ± 5 (9.2)
Brouwer,Desmarestia anceps,Control,0.06 ± 0.014 (0.059),0.068 ± 0.032 (0.066),585 ± 100 (570),5.6 ± 1.5 (5.4)
Brouwer,Desmarestia anceps,Pre-killed,3.4 ± 0.29 (3.4),-1.3 ± 0.5 (-1.3),30 ± 12 (28),5.6 ± 1.5 (5.4)
Hamersley,Macrocystis pyrifera,Prior,26 ± 32 (20),-0.0026 ± 1.4 (-0.0023),13 ± 16 (10),26 ± 34 (20)
Hamersley,Macrocystis pyrifera,Fresh,5.7 ± 0.43 (5.6),-0.3 ± 0.64 (-0.32),7 ± 1.1 (7),11 ± 1.1 (11)
Hamersley,Macrocystis pyrifera,Senescent,10 ± 0.9 (10),-0.79 ± 1.6 (-0.55),1.6 ± 0.56 (1.5),12 ± 0.64 (12)
Hamersley,Macrocystis pyrifera,Detached,7.1 ± 0.57 (7.1),-0.99 ± 1.6 (-0.66),2.9 ± 1.8 (2.3),9.1 ± 0.8 (9)
Hamersley,Macrocystis pyrifera,Global,11 ± 12 (8.6),-0.45 ± 1.4 (-0.4),8.2 ± 16 (4.9),12 ± 7.3 (11)
Bettignies,Laminaria hyperborea,Prior,3.1 ± 6.6 (2.4),-2.1 ± 18 (-1.3),33 ± 16 (30),3.2 ± 18 (2.4)
Bettignies,Laminaria hyperborea,Fresh,1.1 ± 0.1 (1.1),0.26 ± 0.38 (0.27),16 ± 9.5 (15),1.3 ± 0.1 (1.3)
Bettignies,Laminaria hyperborea,Global,2.6 ± 11 (1.6),-1.3 ± 3.3 (-0.73),37 ± 31 (29),2.6 ± 3.2 (2)
Bettignies,Laminaria hyperborea,Senescent Experiment 1,3.7 ± 2.2 (3.3),-2.4 ± 0.57 (-2.4),34 ± 33 (24),3.6 ± 0.54 (3.6)
Bettignies,Laminaria hyperborea,Senescent Experiment 2,0.54 ± 0.06 (0.53),0.15 ± 0.34 (0.09),71 ± 23 (72),1.6 ± 0.39 (1.5)
Bourguès,Ulvaria obscura,Prior,13 ± 16 (10),0.52 ± 0.16 (0.5),20 ± 21 (15),13 ± 15 (10)
Bourguès,Ulvaria obscura,Global,6.8 ± 21 (4.4),0.51 ± 0.14 (0.49),20 ± 33 (13),13 ± 12 (12)
Bourguès,Ulvaria obscura,Spring,3.8 ± 1.2 (3.6),0.5 ± 0.14 (0.49),13 ± 3.2 (13),14 ± 6.9 (13)
Bourguès,Ulvaria obscura,Summer,7.7 ± 3.9 (7.4),0.5 ± 0.14 (0.49),4 ± 2.9 (3.5),12 ± 7.5 (11)
Bourguès,Ulvaria obscura,Autumn,2.5 ± 0.87 (2.3),0.51 ± 0.14 (0.5),23 ± 3.4 (23),14 ± 4.8 (13)
Bourguès,Ulvaria obscura,Winter,2.4 ± 0.97 (2.2),0.49 ± 0.13 (0.48),24 ± 19 (24),11 ± 7.9 (11)
Frontier2021,Laminaria hyperborea,0m,0.42 ± 5.8 (0.075),0.4 ± 0.1 (0.4),181 ± 190 (126),14 ± 4.6 (13)
Frontier2021,Laminaria hyperborea,15m,2.4 ± 43 (0.56),0.4 ± 0.1 (0.4),56 ± 58 (39),14 ± 4.6 (13)
Frontier2021,Laminaria hyperborea,30m,18 ± 136 (4.3),0.4 ± 0.1 (0.4),18 ± 22 (12),14 ± 4.6 (13)
Frontier2021,Prior,0m,94 ± 2145 (12),0.43 ± 0.16 (0.4),103 ± 28 (100),13 ± 4.8 (12)
Frontier2021,Prior,15m,19520 ± 3736000 (12),0.43 ± 0.16 (0.4),48 ± 18 (46),13 ± 4.8 (12)
Frontier2021,Prior,30m,9.294e+09 ± 1.854e+12 (12),0.43 ± 0.16 (0.4),24 ± 13 (22),13 ± 4.8 (12)
Frontier2021,Laminaria ochroleuca,0m,1.5 ± 17 (0.34),0.42 ± 0.11 (0.41),169 ± 174 (118),14 ± 4.6 (13)
Frontier2021,Laminaria ochroleuca,15m,2.2 ± 30 (0.57),0.42 ± 0.11 (0.41),87 ± 88 (61),14 ± 4.6 (13)
Frontier2021,Laminaria ochroleuca,30m,4.7 ± 71 (0.98),0.42 ± 0.11 (0.41),46 ± 50 (31),14 ± 4.6 (13)
Frontier2021,Global,0m,590 ± 69470 (2),0.42 ± 0.12 (0.4),164 ± 174 (115),14 ± 5.1 (13)
Frontier2021,Global,15m,13250 ± 1247000 (5),0.42 ± 0.12 (0.4),71 ± 80 (48),14 ± 5.1 (13)
Frontier2021,Global,30m,78970000 ± 1.805e+10 (13),0.42 ± 0.12 (0.4),34 ± 46 (21),14 ± 5.1 (13)
Frontier2022,Laminaria hyperborea,0.5m,0.15 ± 1.7 (0.024),0.3 ± 0.12 (0.29),114 ± 20 (112),16 ± 15 (12)
Frontier2022,Laminaria hyperborea,1.5m,0.2 ± 2.5 (0.039),0.3 ± 0.12 (0.29),97 ± 16 (95),16 ± 15 (12)
Frontier2022,Laminaria hyperborea,3m,0.4 ± 3.4 (0.081),0.3 ± 0.12 (0.29),75 ± 14 (74),16 ± 15 (12)
Frontier2022,Prior,0.5m,196 ± 14510 (12),0.42 ± 0.16 (0.4),88 ± 8.3 (88),13 ± 4.8 (12)
Frontier2022,Prior,1.5m,188 ± 9300 (12),0.42 ± 0.16 (0.4),68 ± 9.5 (68),13 ± 4.8 (12)
Frontier2022,Prior,3m,680 ± 73300 (12),0.42 ± 0.16 (0.4),47 ± 11 (47),13 ± 4.8 (12)
Frontier2022,Laminaria ochroleuca,0.5m,1.1 ± 25 (0.16),0.64 ± 0.24 (0.61),75 ± 11 (74),24 ± 23 (18)
Frontier2022,Laminaria ochroleuca,1.5m,1.3 ± 11 (0.25),0.64 ± 0.24 (0.61),56 ± 8 (55),24 ± 23 (18)
Frontier2022,Laminaria ochroleuca,3m,2.4 ± 16 (0.5),0.64 ± 0.24 (0.61),37 ± 6.8 (37),24 ± 23 (18)
Frontier2022,Global,0.5m,3324 ± 542200 (2.6),0.45 ± 0.24 (0.41),90 ± 14 (89),18 ± 17 (13)
Frontier2022,Global,1.5m,4854 ± 569800 (3.6),0.45 ± 0.24 (0.41),71 ± 14 (71),18 ± 17 (13)
Frontier2022,Global,3m,9038 ± 821400 (5.9),0.45 ± 0.24 (0.41),51 ± 14 (50),18 ± 17 (13)
