reference,parameter,contrast,P,n,diff,ratio
Bettignies,alpha,S1vF,1,80000,-2.7 ± 0.68 (-2.6),-18 ± 3762 (-5.5)
Bettignies,alpha,S2vF,0.64,80000,-0.11 ± 0.49 (-0.14),-0.39 ± 248 (0.19)
Bettignies,alpha,S2vS1,1.4e-4,80000,2.6 ± 0.65 (2.6),-0.07 ± 0.17 (-0.037)
Bettignies,mu,S1vF,0.26,80000,18 ± 34 (8.2),2.4 ± 2.7 (1.6)
Bettignies,mu,S2vF,0.0095,80000,55 ± 25 (56),5.1 ± 2.6 (4.8)
Bettignies,mu,S2vS1,0.12,80000,37 ± 37 (40),3.9 ± 4.3 (2.6)
Bettignies,tau,S1vF,0,80000,2.4 ± 0.55 (2.3),2.8 ± 0.46 (2.8)
Bettignies,tau,S2vF,0.22,80000,0.3 ± 0.4 (0.25),1.2 ± 0.31 (1.2)
Bettignies,tau,S2vS1,1,80000,-2 ± 0.64 (-2),0.45 ± 0.12 (0.43)
Bourguès,alpha,AuvSp,0.46,80000,0.014 ± 0.14 (0.0033),1.1 ± 0.35 (1)
Bourguès,alpha,AuvSu,0.47,80000,0.0097 ± 0.15 (0.0024),1.1 ± 0.34 (1)
Bourguès,alpha,SuvSp,0.49,80000,0.0045 ± 0.15 (0.00037),1 ± 0.35 (1)
Bourguès,alpha,WivAu,0.56,80000,-0.023 ± 0.14 (-0.0058),0.99 ± 0.27 (0.99)
Bourguès,alpha,WivSp,0.52,80000,-0.0092 ± 0.14 (-0.0018),1 ± 0.3 (1)
Bourguès,alpha,WivSu,0.53,80000,-0.014 ± 0.14 (-0.0026),1 ± 0.3 (0.99)
Bourguès,mu,AuvSp,0.009,80000,10 ± 4 (9.8),1.9 ± 0.88 (1.8)
Bourguès,mu,AuvSu,0.0023,80000,19 ± 4.2 (19),8.6 ± 9.2 (6.4)
Bourguès,mu,SuvSp,0.99,80000,-8.8 ± 3.9 (-8.9),0.32 ± 0.23 (0.28)
Bourguès,mu,WivAu,0.41,80000,1.1 ± 19 (1.6),1.1 ± 0.83 (1.1)
Bourguès,mu,WivSp,0.16,80000,11 ± 19 (11),2 ± 1.6 (1.9)
Bourguès,mu,WivSu,0.027,80000,20 ± 19 (20),8.6 ± 13 (6.3)
Bourguès,tau,AuvSp,0.46,80000,0.13 ± 7.5 (0.17),1.1 ± 0.51 (1)
Bourguès,tau,AuvSu,0.33,80000,1.8 ± 8.5 (1),1.2 ± 0.54 (1.1)
Bourguès,tau,SuvSp,0.61,80000,-1.7 ± 9.3 (-0.61),0.96 ± 0.48 (0.95)
Bourguès,tau,WivAu,0.69,80000,-2.8 ± 8.5 (-1.6),0.83 ± 0.55 (0.87)
Bourguès,tau,WivSp,0.67,80000,-2.7 ± 9.5 (-1.3),0.86 ± 0.59 (0.89)
Bourguès,tau,WivSu,0.6,80000,-0.98 ± 10 (-0.59),0.95 ± 0.73 (0.95)
Brouwer,alpha,KilledvControl,1,80000,-1.3 ± 0.5 (-1.3),-30 ± 1947 (-19)
Brouwer,mu,KilledvControl,1,80000,-560 ± 97 (-540),0.052 ± 0.022 (0.049)
Brouwer,tau,KilledvControl,0,80000,0 ± 0 (0),1 ± 0 (1)
Frontier2021,alpha,OvH,0.46,80000,0.012 ± 0.12 (0.0064),1.1 ± 0.35 (1)
Frontier2021,beta,OvH,0.97,80000,-0.033 ± 0.019 (-0.033),0.6 ± 0.19 (0.57)
Frontier2021,mu,OvH,0.52,80000,-12 ± 254 (-6.6),1.9 ± 3.4 (0.94)
Frontier2021,tau,OvH,0.52,80000,-0.18 ± 6.3 (-0.25),1.1 ± 0.53 (0.98)
Frontier2022,alpha,OvH,0.066,80000,0.34 ± 0.27 (0.32),2.5 ± 1.5 (2.1)
Frontier2022,beta,OvH,0.1,80000,0.11 ± 0.095 (0.097),1.9 ± 1.1 (1.6)
Frontier2022,mu,OvH,0.96,80000,-40 ± 26 (-38),0.68 ± 0.18 (0.66)
Frontier2022,tau,OvH,0.37,80000,8.2 ± 28 (4.9),2.9 ± 7.5 (1.5)
Hamersley,alpha,DvF,0.64,80000,-0.69 ± 1.5 (-0.21),3.1 ± 357 (1)
Hamersley,alpha,DvS,0.54,80000,-0.2 ± 1.5 (-0.037),1 ± 194 (0.86)
Hamersley,alpha,SvF,0.6,80000,-0.49 ± 1.5 (-0.13),0.4 ± 354 (1)
Hamersley,mu,DvF,0.95,80000,-4.1 ± 2 (-4.5),0.42 ± 0.26 (0.34)
Hamersley,mu,DvS,0.071,80000,1.3 ± 1.7 (0.83),1.9 ± 1.2 (1.6)
Hamersley,mu,SvF,1,80000,-5.4 ± 1.2 (-5.5),0.23 ± 0.089 (0.22)
Hamersley,tau,DvF,0.96,80000,-2.3 ± 1.3 (-2.3),0.81 ± 0.099 (0.8)
Hamersley,tau,DvS,0.99,80000,-2.8 ± 1 (-2.9),0.77 ± 0.079 (0.76)
Hamersley,tau,SvF,0.32,80000,0.51 ± 1.2 (0.52),1.1 ± 0.11 (1)
Vandendriessche,alpha,AvF,0.091,80000,0.058 ± 0.043 (0.057),1.2 ± 0.13 (1.2)
Vandendriessche,mu,AvF,1,80000,-36 ± 4.5 (-36),0.35 ± 0.029 (0.35)
Vandendriessche,tau,AvF,1,80000,-9.5 ± 1.6 (-9.4),0.39 ± 0.042 (0.39)
